T,5w1.1,5w1.2,5w2.1,5w2.2,5w3.1,5w3.2,5w4.1,5w4.2,5w5.1,5w5.2,2w1.1,2w1.2,2w2.1,2w2.2,2w3.1,2w3.2,2w4.1,2w4.2,2w5.1,2w5.2,Rw1.1,Rw1.2,Rw2.1,Rw2.2,Rw3.1,Rw3.2,Rw4.1,Rw4.2,Rw5.1,Rw5.2,LY1.1,LY1.2,LY1.3,LY1.4,LY1.5,LY1.6
0,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
2,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
4,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
6,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.00001,0.00001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
8,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.0001,0.001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.00001,0.00001,0.000001,0.000001,0.000001,0.000001,0.00001,0.00001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
10,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.0001,0.001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.0001,0.0001,0.000001,0.000001,0.000001,0.000001,0.00001,0.00001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
12,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.001,0.001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.0001,0.0001,0.000001,0.000001,0.000001,0.000001,0.00001,0.00001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
14,0.00001,0.00001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.00001,0.00001,0.000001,0.000001,0.000001,0.000001,0.001,0.001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.001,0.001,0.000001,0.000001,0.000001,0.000001,0.0001,0.0001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
16,0.00001,0.00001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.00001,0.00001,0.00001,0.00001,0.000001,0.000001,0.001,0.001,0.000001,0.000001,0.000001,0.000001,0.00001,0.00001,0.001,0.001,0.000001,0.000001,0.000001,0.000001,0.0001,0.0001,0.000001,0.000001,0.000001,0.00001,0.00001,0.000001
18,0.00001,0.00001,0.00001,0.000001,0.000001,0.000001,0.00001,0.000001,0.00001,0.00001,0.00001,0.00001,0.000001,0.000001,0.001,0.001,0.000001,0.000001,0.000001,0.000001,0.00001,0.00001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,0.001,0.001,0.00001,0.000001,0.00001,0.00001,0.00001,0.000001
20,0.00001,0.00001,0.00001,0.00001,0.000001,0.00001,0.00001,0.00001,0.0001,0.0001,0.00001,0.00001,0.00001,0.00001,0.0001,0.001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.0001,0.001,0.00001,0.00001,0.00001,0.00001,0.0001,0.001,0.00001,0.00001,0.00001,0.0001,0.00001,0.00001
22,0.0001,0.0001,0.0001,0.00001,0.00001,0.00001,0.00001,0.00001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,0.0001,0.00001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,0.0001,0.001,0.00001,0.00001,0.00001,0.0001,0.0001,0.00001
24,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.00001,0.00001,0.00001,0.0001,0.0001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.0001,0.0001
